action,long,short,pair,hedge_ratio,z_score,timestamp,sector,shares_a,shares_b,price_a,price_b
ENTER_LONG_SPREAD,EME,PCAR,EME/PCAR,6.5839,-3.320705160545277,2026-02-18 20:12:54,Industrials,6,39,783.14,125.22
ENTER_LONG_SPREAD,FLG,VLY,FLG/VLY,1.2949,-2.4517310782089186,2026-02-18 20:12:54,Financials,369,375,13.524,13.32
ENTER_LONG_SPREAD,SWK,TTC,SWK/TTC,0.6788,-2.2592377583668606,2026-02-18 20:12:54,Industrials,55,50,89.595,99.01
ENTER_SHORT_SPREAD,SWK,RRX,RRX/SWK,3.692,2.3549813776662507,2026-02-18 20:12:54,Industrials,22,55,218.58,89.595
ENTER_SHORT_SPREAD,TKR,AGCO,AGCO/TKR,1.5092,2.10330220247256,2026-02-18 20:12:54,Industrials,35,46,138.89,107.145
ENTER_LONG_SPREAD,AVT,ENTG,AVT/ENTG,0.1369,-2.1660824452200425,2026-02-18 20:12:54,Information Technology,76,38,64.97,130.9
ENTER_SHORT_SPREAD,PPL,EVRG,EVRG/PPL,1.6335,2.2267477292667177,2026-02-18 20:12:54,Utilities,61,135,80.78,36.935
EXIT,LONG_SPREAD,-3.320705160545277,-3.320705160545277,1,HARD_STOP,EME/PCAR,6.5839,-3.320705160545277,2026-02-18 20:13:56,Industrials,6,39,783.14,125.22
ENTER_SHORT_SPREAD,DBX,APPF,APPF/DBX,5.6447,2.01274189585184,2026-02-18 20:16:35,Information Technology,28,202,176.4,24.635
ENTER_LONG_SPREAD,KEY,USB,KEY/USB,0.4635,-2.1155217317780983,2026-02-18 20:21:25,Financials,227,85,21.94,58.68
ENTER_SHORT_SPREAD,VMC,MLM,MLM/VMC,3.6296,2.200270257212405,2026-02-18 20:26:32,Materials,7,16,660.7,298.22
EXIT,SHORT_SPREAD,2.2267477292667177,4.9175852051338165,15,HARD_STOP,EVRG/PPL,1.6335,4.9175852051338165,2026-02-18 21:23:48,Utilities,60,135,82.65,36.81
ENTER_SHORT_SPREAD,CNP,AWK,AWK/CNP,6.2768,2.1336609731774976,2026-02-19 11:04:09,Utilities,38,120,130.4394,41.55
ENTER_SHORT_SPREAD,EQT,AM,AM/EQT,0.4657,2.236433027579999,2026-02-22 18:16:43,Energy,231,82,21.63,60.3
